no,WG_frac,protein,target moisture,moisture,ash,carbs,fat,fiber,Hardness,Chewiness,Group_ID,Study_ID,,
1,0,62.6988,56.85,5.3937,4.2445,20.491,6.662,0.51,46.709,38.0498156,5,2,ext._0%WG,extrusion_0%WG
2,0,62.6988,56.85,5.3937,4.2445,20.491,6.662,0.51,40.4365,31.29498845,5,2,ext._0%WG,extrusion_0%WG
3,0,62.6988,57.16,5.3937,4.2445,20.491,6.662,0.51,49.0595,39.49474672,5,2,ext._0%WG,extrusion_0%WG
4,10,63.1788,57.51,5.9137,3.9545,19.861,6.582,0.51,38.6525,26.86242929,6,2,ext._10%WG,extrusion_10%WG
5,10,63.1788,57.24,5.9137,3.9545,19.861,6.582,0.51,50.8115,38.97708087,6,2,ext._10%WG,extrusion_10%WG
6,10,63.1788,57.34,5.9137,3.9545,19.861,6.582,0.51,45.185,36.20924711,6,2,ext._10%WG,extrusion_10%WG
7,20,63.6588,56.6,6.4337,3.6645,19.231,6.502,0.51,54,36.17483156,7,2,ext._20%WG,extrusion_20%WG
8,20,63.6588,56.4,6.4337,3.6645,19.231,6.502,0.51,69.2835,47.46240536,7,2,ext._20%WG,extrusion_20%WG
9,20,63.6588,56.45,6.4337,3.6645,19.231,6.502,0.51,59.3585,41.74582285,7,2,ext._20%WG,extrusion_20%WG
10,30,64.1388,57.81,6.9537,3.3745,18.601,6.422,0.51,82.949,47.34453227,8,2,ext._30%WG,extrusion_30%WG
11,30,64.1388,57.21,6.9537,3.3745,18.601,6.422,0.51,77.025,47.47226113,8,2,ext._30%WG,extrusion_30%WG
12,30,64.1388,57.4,6.9537,3.3745,18.601,6.422,0.51,75.85,41.14870565,8,2,ext._30%WG,extrusion_30%WG
13,40,72.17111111,53.11122789,5.315333333,4.291333333,10.44444444,7.757777778,0.02,98.401,79.2815,9,3,elon._40%WG,elongation_40%WG
14,40,72.17111111,51.69024034,5.315333333,4.291333333,10.44444444,7.757777778,0.02,89.7895,73.5385,9,3,elon._40%WG,elongation_40%WG
15,40,72.17111111,56.33091309,5.315333333,4.291333333,10.44444444,7.757777778,0.02,91.139,74.8295,9,3,elon._40%WG,elongation_40%WG
16,60,69.43777778,51.25775269,4.859777778,4.018,14.08888889,7.575555556,0.02,74.3745,64.85,10,3,elon._60%WG,elongation_60%WG
17,60,69.43777778,54.25145271,4.859777778,4.018,14.08888889,7.575555556,0.02,70.018,58.4125,10,3,elon._60%WG,elongation_60%WG
18,60,69.43777778,54.32760516,4.859777778,4.018,14.08888889,7.575555556,0.02,67.6505,53.7825,10,3,elon._60%WG,elongation_60%WG
19,80,66.70444444,53.69650689,4.404222222,3.744666667,17.73333333,7.393333333,0.02,69.7735,58.3045,11,3,elon._80%WG,elongation_80%WG
20,80,66.70444444,54.74974584,4.404222222,3.744666667,17.73333333,7.393333333,0.02,65.3,54.78,11,3,elon._80%WG,elongation_80%WG
21,80,66.70444444,53.31907091,4.404222222,3.744666667,17.73333333,7.393333333,0.02,65.4595,55.6655,11,3,elon._80%WG,elongation_80%WG
22,100,63.97111111,43.67081928,3.948666667,3.471333333,21.37777778,7.211111111,0.02,39.048,33.8095,12,3,elon._100%WG,elongation_100%WG
23,100,63.97111111,48.68852551,3.948666667,3.471333333,21.37777778,7.211111111,0.02,48.827,41.3265,12,3,elon._100%WG,elongation_100%WG
24,100,63.97111111,48.56958608,3.948666667,3.471333333,21.37777778,7.211111111,0.02,52.6625,46.232,12,3,elon._100%WG,elongation_100%WG
25,YPI-com,79,66,6,4,9.2,0.2,1.6,21.8442,19.11,1,1,YPI-com,YPI-com
26,YPI-com,79,66,6,4,9.2,0.2,1.6,24.8332,21.5698,1,1,YPI-com,YPI-com
27,YPI-com,79,66,6,4,9.2,0.2,1.6,26.2836,23.0692,1,1,YPI-com,YPI-com
28,YPI-com,79,67,6,4,9.2,0.2,1.6,23.4122,19.8058,1,1,YPI-com,YPI-com
29,YPI-com,79,67,6,4,9.2,0.2,1.6,17.8752,15.386,1,1,YPI-com,YPI-com
30,YPI-com,79,67,6,4,9.2,0.2,1.6,20.8838,17.8164,1,1,YPI-com,YPI-com
31,YPI-com,79,68,6,4,9.2,0.2,1.6,19.4628,19.4628,1,1,YPI-com,YPI-com
32,YPI-com,79,68,6,4,9.2,0.2,1.6,17.3852,15.1312,1,1,YPI-com,YPI-com
33,YPI-com,79,68,6,4,9.2,0.2,1.6,17.248,14.9352,1,1,YPI-com,YPI-com
34,YPI-com,79,69,6,4,9.2,0.2,1.6,18.914,16.0916,1,1,YPI-com,YPI-com
35,YPI-com,79,69,6,4,9.2,0.2,1.6,19.7568,17.493,1,1,YPI-com,YPI-com
36,YPI-com,79,69,6,4,9.2,0.2,1.6,23.8434,20.335,1,1,YPI-com,YPI-com
37,YPI-com,79,70,6,4,9.2,0.2,1.6,14.6314,12.3382,1,1,YPI-com,YPI-com
38,YPI-com,79,70,6,4,9.2,0.2,1.6,16.6796,14.1708,1,1,YPI-com,YPI-com
39,YPI-com,79,70,6,4,9.2,0.2,1.6,23.7748,19.8744,1,1,YPI-com,YPI-com
40,YPI-local,81,67,2,5,7.6,3,1.6,21.3346,17.689,2,1,YPI-local,YPI-local
41,YPI-local,81,67,2,5,7.6,3,1.6,22.0696,17.6008,2,1,YPI-local,YPI-local
42,FBC-com,56,58,9,6,15,3,10,60.1328,50.813,3,1,FBC-com,FBC-com
43,FBC-com,56,58,9,6,15,3,10,59.976,51.5872,3,1,FBC-com,FBC-com
44,FBC-com,56,58,9,6,15,3,10,45.4426,39.5822,3,1,FBC-com,FBC-com
45,FBC-com,56,60,9,6,15,3,10,53.655,47.0988,3,1,FBC-com,FBC-com
46,FBC-com,56,60,9,6,15,3,10,44.0608,38.3572,3,1,FBC-com,FBC-com
47,FBC-com,56,60,9,6,15,3,10,51.1756,43.316,3,1,FBC-com,FBC-com
48,FBC-com,56,62,9,6,15,3,10,37.044,29.4196,3,1,FBC-com,FBC-com
49,FBC-com,56,62,9,6,15,3,10,44.3156,35.5838,3,1,FBC-com,FBC-com
50,FBC-com,56,62,9,6,15,3,10,39.2882,32.7222,3,1,FBC-com,FBC-com
51,FBI-local,88,62,2,5,2.9,0.3,1.3,25.9504,22.6282,4,1,FBI-local,FBI-local
52,FBI-local,88,64,2,5,2.9,0.3,1.3,32.3498,27.5184,4,1,FBI-local,FBI-local
53,FBI-local,88,66,2,5,2.9,0.3,1.3,34.5352,29.3216,4,1,FBI-local,FBI-local
54,FBI-local,88,70,2,5,2.9,0.3,1.3,25.2644,20.8544,4,1,FBI-local,FBI-local
